chassistype,ram,os,#ofcores,age_category,graphicscardclass,processornumber,cpucode,persona,guid
Notebook,8,Win10,4,6,Low-End Graphics Cards,22,i7-3630QM,Web User,0423d3c2900644db869263e2092ecf9f
Desktop,16,Win10,6,1,Low-Midrange Graphics Cards,14,i5-8600,Casual Gamer,06bd27bfc0e640bf93ded86e48ed9f1a
Notebook,32,Win10,6,0,Low-Midrange Graphics Cards,14,i7-9850H,Win Store App User,07e71f6bcad44dd19bef9b93f6687bd3
Notebook,16,Win10,2,2,,14,i7-7500U,Web User,0ea0f723e2624933bdc205fb349ae496
Desktop,8,Win10,4,6,,22,i7-3770,Office/Productivity,0521e4b287634a7697ed244ed4bad687
Notebook,16,Win10,4,3,Low-Midrange Graphics Cards,14,i7-6700HQ,Gamer,0b1e7c3faca54c76887818fb95cf045b
Desktop,12,Win8,2,6,Not Suited for Games,32,i3-2100,Gamer,7e6581f6325a4515b19038b3148523e3
Desktop,16,Win10,4,2,High-End Graphics Cards,14,i5-7500,Casual Gamer,5254f896e17b488fbce5d0d94c1a3198
Desktop,8,Win10,4,6,Low-Midrange Graphics Cards,22,i5-3470,Casual Gamer,8bf51daf13d9414689775156da130066
Notebook,4,Win10,2,1,Low-Midrange Graphics Cards,14,i3-7020U,Gamer,1ea46d213eea4ca68332c547f46ed5f8
Desktop,16,Win10,4,2,High-End Graphics Cards,14,i5-7500,Gamer,3245b26dae864bcb825af703f8e62204
Notebook,8,Win10,2,6,Low-End Graphics Cards,22,i5-3210M,Communication,b09600557d7c4087aae27767751508ae
Notebook,4,Win8.1,4,6,Low-Midrange Graphics Cards,22,N3530,Web User,fb6e1f275fdc44578b4431ba1883d877
Notebook,12,Win10,4,6,Low-End Graphics Cards,32,i7-2630QM,Web User,8abd60bab8fe4e2a9123c4b5a84d4324
Desktop,32,Win10,8,4,Mid-Range Graphics Cards,22,i7-5960X,Web User,9f23c14e446e4ce1b86a60889cc3bdbb
Notebook,8,Win10,6,1,Low-Midrange Graphics Cards,14,i7-8750H,Casual Gamer,bc691efecd1840bfb633005fc5baccec
Notebook,4,Win8.1,2,6,Low-End Graphics Cards,22,i5-3230M,Casual Gamer,db2a8a8a590e4f5580d3fbba6663ce19
